rij_nummer;deal_titel;bedrijfsnaam;functietitel;voornaam;achternaam;email;telefoon;functie_contact;website;stad;provincie;postcode;vacature_url;datum_gevonden;via_bemiddelaar
27;ASML - Senior Software Engineer (Veldhoven);DEMCO;Industrial Automation Specialist;Thomas;Jacobs;warts+test27@recruitin.nl;612345027;Technical Recruiter;54.315;Oss;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
28;Philips - Operations Manager (Eindhoven);Stork;Technical Services Manager;Nina;de Haan;warts+test28@recruitin.nl;612345028;HR Business Partner;54.697;Utrecht;Utrecht;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
29;Random IT BV - DevOps Engineer (Utrecht);Bosch Nederland;Automotive Engineer;Max;Vermeulen;warts+test29@recruitin.nl;612345029;Technical Lead;51.214;Eindhoven;Noord-Brabant;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
30;Test Productie NV - Recruitment Manager tester (Venlo);Siemens Nederland;Process Automation Engineer;Roos;van den Heuvel;warts+test30@recruitin.nl;612345030;HR Director;61.724;Den Haag;Zuid-Holland;5900AA;https://testproductie.nl/jobs/recruitment-manager;2025-11-21;
31;TestBedrijf Alpha BV - Corporate Recruiter Test 1 (UTRECHT);Mitsubishi Electric;Factory Automation Engineer;Lucas;van der Heijden;warts+test31@recruitin.nl;612345031;HR Director;51.214;Almere;Flevoland;3511AA;https://testbedrijf-alpha.nl/vacatures/recruiter-001;2025-11-21;
32;TestBedrijf Beta BV - Corporate Recruiter Test 2 (EINDHOVEN);ASMI;Semiconductor Equipment Engineer;Tess;Schouten;warts+test32@recruitin.nl;612345032;Operations Director;54.697;Almere;Flevoland;5611AA;https://testbedrijf-beta.nl/vacatures/recruiter-002;2025-11-21;
33;TestBedrijf Gamma BV - Corporate Recruiter Test 3 (ARNHEM);Prodrive Technologies;Embedded Systems Engineer;Sam;van Beek;warts+test33@recruitin.nl;612345033;HR Manager;58.987;Son;Noord-Brabant;6811AA;https://testbedrijf-gamma.nl/vacatures/recruiter-003;2025-11-21;
34;TestBedrijf Delta BV - Corporate Recruiter Test 4 (VENLO);Neways Electronics;Electronics Design Engineer;Lynn;Willems;warts+test34@recruitin.nl;612345034;Recruitment Lead;61.724;Son;Noord-Brabant;5911AA;https://testbedrijf-delta.nl/vacatures/recruiter-004;2025-11-21;
35;TestBedrijf Epsilon BV - Corporate Recruiter Test 5 (ZWOLLE);Assembléon;SMT Equipment Specialist;Jayden;van Vliet;warts+test35@recruitin.nl;612345035;HR Business Partner;60.830;Veldhoven;Noord-Brabant;8011AA;https://testbedrijf-epsilon.nl/vacatures/recruiter-005;2025-11-21;
36;TestBedrijf Zeta BV - Corporate Recruiter Test 6 (LELYSTAD);Shell;Process Engineer;Liv;de Bruin;warts+test36@recruitin.nl;612345036;Talent Acquisition Lead;54.714;Den Haag;Zuid-Holland;8232AA;https://testbedrijf-zeta.nl/vacatures/recruiter-006;2025-11-21;
37;TestBedrijf Eta BV - Corporate Recruiter Test 7 (AMERSFOORT);BP Nederland;Refinery Operations Manager;Ryan;Hoekstra;warts+test37@recruitin.nl;612345037;People & Culture Director;53.878;Rotterdam;Zuid-Holland;3811AA;https://testbedrijf-eta.nl/vacatures/recruiter-007;2025-11-21;
38;TestBedrijf Theta BV - Corporate Recruiter Test 8 (DEN BOSCH);TotalEnergies;Energy Trading Analyst;Iris;Maas;warts+test38@recruitin.nl;612345038;HR Director;53.048;Amsterdam;Noord-Holland;5211AA;https://testbedrijf-theta.nl/vacatures/recruiter-008;2025-11-21;
39;TestBedrijf Iota BV - Corporate Recruiter Test 9 (NIJMEGEN);Eneco;Renewable Energy Consultant;Levi;Verhoeven;warts+test39@recruitin.nl;612345039;Chief People Officer;58.531;Rotterdam;Zuid-Holland;6511AA;https://testbedrijf-iota.nl/vacatures/recruiter-009;2025-11-21;
40;TestBedrijf Kappa BV - Corporate Recruiter Test 10 (MAASTRICHT);Essent;Energy Market Analyst;Fenna;Koster;warts+test40@recruitin.nl;612345040;Recruitment Manager;56.910;Den Bosch;Noord-Brabant;6211AA;https://testbedrijf-kappa.nl/vacatures/recruiter-010;2025-11-21;
41;TestBedrijf Alpha BV - Corporate Recruiter Test 1 (UTRECHT);Vattenfall;Wind Energy Engineer;Noah;Prins;warts+test41@recruitin.nl;612345041;HR Director;51.214;Amsterdam;Noord-Holland;3511AA;https://testbedrijf-alpha.nl/vacatures/recruiter-001;2025-11-21;
42;TestBedrijf Beta BV - Corporate Recruiter Test 2 (EINDHOVEN);Nuon;Power Plant Manager;Elin;Blom;warts+test42@recruitin.nl;612345042;Operations Director;54.697;Amsterdam;Noord-Holland;5611AA;https://testbedrijf-beta.nl/vacatures/recruiter-002;2025-11-21;
43;TestBedrijf Gamma BV - Corporate Recruiter Test 3 (ARNHEM);Gasunie;Gas Infrastructure Engineer;Julian;Huisman;warts+test43@recruitin.nl;612345043;HR Manager;58.987;Groningen;Groningen;6811AA;https://testbedrijf-gamma.nl/vacatures/recruiter-003;2025-11-21;
44;TestBedrijf Delta BV - Corporate Recruiter Test 4 (VENLO);TenneT;Grid Operations Manager;Amy;Peeters;warts+test44@recruitin.nl;612345044;Recruitment Lead;61.724;Arnhem;Gelderland;5911AA;https://testbedrijf-delta.nl/vacatures/recruiter-004;2025-11-21;
45;TestBedrijf Epsilon BV - Corporate Recruiter Test 5 (ZWOLLE);Alliander;Smart Grid Specialist;Mees;de Jonge;warts+test45@recruitin.nl;612345045;HR Business Partner;60.830;Arnhem;Gelderland;8011AA;https://testbedrijf-epsilon.nl/vacatures/recruiter-005;2025-11-21;
46;TestBedrijf Zeta BV - Corporate Recruiter Test 6 (LELYSTAD);ING;Risk Analyst;Vera;Kuipers;warts+test46@recruitin.nl;612345046;Talent Acquisition Lead;54.714;Amsterdam;Noord-Holland;8232AA;https://testbedrijf-zeta.nl/vacatures/recruiter-006;2025-11-21;
47;TestBedrijf Eta BV - Corporate Recruiter Test 7 (AMERSFOORT);Rabobank;Corporate Banking Manager;Gijs;van Veen;warts+test47@recruitin.nl;612345047;People & Culture Director;53.878;Utrecht;Utrecht;3811AA;https://testbedrijf-eta.nl/vacatures/recruiter-007;2025-11-21;
48;TestBedrijf Theta BV - Corporate Recruiter Test 8 (DEN BOSCH);ABN AMRO;Investment Advisor;Floor;Post;warts+test48@recruitin.nl;612345048;HR Director;53.048;Amsterdam;Noord-Holland;5211AA;https://testbedrijf-theta.nl/vacatures/recruiter-008;2025-11-21;
49;TestBedrijf Iota BV - Corporate Recruiter Test 9 (NIJMEGEN);ASN Bank;Sustainable Finance Specialist;Dylan;Kuiper;warts+test49@recruitin.nl;612345049;Chief People Officer;58.531;Den Haag;Zuid-Holland;6511AA;https://testbedrijf-iota.nl/vacatures/recruiter-009;2025-11-21;
50;TestBedrijf Kappa BV - Corporate Recruiter Test 10 (MAASTRICHT);Triodos Bank;Ethical Banking Advisor;Noor;Veenstra;warts+test50@recruitin.nl;612345050;Recruitment Manager;56.910;Driebergen;Utrecht;6211AA;https://testbedrijf-kappa.nl/vacatures/recruiter-010;2025-11-21;
51;TestBedrijf Gamma BV - Corporate Recruiter Test 3 (ARNHEM);De Volksbank;Retail Banking Manager;Floris;Kramer;warts+test51@recruitin.nl;612345051;HR Manager;58.987;Utrecht;Utrecht;6811AA;https://testbedrijf-gamma.nl/vacatures/recruiter-003;2025-11-21;
52;TestBedrijf Delta BV - Corporate Recruiter Test 4 (VENLO);Aegon;Pension Fund Manager;Amber;van den Broek;warts+test52@recruitin.nl;612345052;Recruitment Lead;61.724;Den Haag;Zuid-Holland;5911AA;https://testbedrijf-delta.nl/vacatures/recruiter-004;2025-11-21;
53;TestBedrijf Epsilon BV - Corporate Recruiter Test 5 (ZWOLLE);NN Group;Insurance Product Manager;Tom;van der Wal;warts+test53@recruitin.nl;612345053;HR Business Partner;60.830;Den Haag;Zuid-Holland;8011AA;https://testbedrijf-epsilon.nl/vacatures/recruiter-005;2025-11-21;
54;TestBedrijf Zeta BV - Corporate Recruiter Test 6 (LELYSTAD);Delta Lloyd;Claims Manager;Puck;Vink;warts+test54@recruitin.nl;612345054;Talent Acquisition Lead;54.714;Amsterdam;Noord-Holland;8232AA;https://testbedrijf-zeta.nl/vacatures/recruiter-006;2025-11-21;
55;TestBedrijf Eta BV - Corporate Recruiter Test 7 (AMERSFOORT);APG;Asset Manager;Teun;de Ruiter;warts+test55@recruitin.nl;612345055;People & Culture Director;53.878;Heerlen;Limburg;3811AA;https://testbedrijf-eta.nl/vacatures/recruiter-007;2025-11-21;
56;TestBedrijf Theta BV - Corporate Recruiter Test 8 (DEN BOSCH);PGGM;Pension Investment Analyst;Saar;Timmermans;warts+test56@recruitin.nl;612345056;HR Director;53.048;Zeist;Utrecht;5211AA;https://testbedrijf-theta.nl/vacatures/recruiter-008;2025-11-21;
57;TestBedrijf Iota BV - Corporate Recruiter Test 9 (NIJMEGEN);BNP Paribas Fortis;Corporate Finance Analyst;Cas;Groen;warts+test57@recruitin.nl;612345057;Chief People Officer;58.531;Rotterdam;Zuid-Holland;6511AA;https://testbedrijf-iota.nl/vacatures/recruiter-009;2025-11-21;
58;Test Productie NV - Recruitment Manager tester (Venlo);Deutsche Bank Nederland;Trading Analyst;Sofie;Gerritsen;warts+test58@recruitin.nl;612345058;HR Director;61.724;Amsterdam;Noord-Holland;5900AA;https://testproductie.nl/jobs/recruitment-manager;2025-11-21;
59;ASML - Senior Software Engineer 123 (Veldhoven);Credit Suisse;Wealth Manager;Jasper;Jonker;warts+test59@recruitin.nl;612345059;Technical Recruiter;54.315;Amsterdam;Noord-Holland;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
60;Philips - Operations Manager specs (Eindhoven);Goldman Sachs;Investment Banking Analyst;Zoë;van Loon;warts+test60@recruitin.nl;612345060;HR Business Partner;54.697;Amsterdam;Noord-Holland;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
61;Random IT BV - DevOps Engineer (Utrecht);Albert Heijn;DevOps Engineer;Hugo;Bosch;warts+test61@recruitin.nl;612345061;Technical Lead;51.214;Zaandam;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
62;Random IT BV - DevOps Engineer (Utrecht);Jumbo;DevOps Engineer;Luna;van Vugt;warts+test62@recruitin.nl;612345062;Technical Lead;51.214;Veghel;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
63;ASML - Senior Software Engineer (Veldhoven);Bol.com;Senior Software Engineer;Stan;van Dongen;warts+test63@recruitin.nl;612345063;Technical Recruiter;54.315;Utrecht;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
64;Philips - Operations Manager (Eindhoven);Coolblue;Operations Manager;Maud;Hermans;warts+test64@recruitin.nl;612345064;HR Business Partner;54.697;Rotterdam;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
65;Philips - Operations Manager (Eindhoven);Wehkamp;Operations Manager;Dex;Meijers;warts+test65@recruitin.nl;612345065;HR Business Partner;54.697;Zwolle;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
66;Test Productie NV - Recruitment Manager tester (Venlo);Rituals;Recruitment Manager tester;Julie;van der Ven;warts+test66@recruitin.nl;612345066;HR Director;61.724;Amsterdam;Limburg;5900AA;https://testproductie.nl/jobs/recruitment-manager;2025-11-21;
67;ASML - Senior Software Engineer 123 (Veldhoven);HEMA;Senior Software Engineer 123;Nick;Evers;warts+test67@recruitin.nl;612345067;Technical Recruiter;54.315;Amsterdam;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
68;Philips - Operations Manager specs (Eindhoven);Action;Operations Manager specs;Lieke;van den Bosch;warts+test68@recruitin.nl;612345068;HR Business Partner;54.697;Zwaagdijk;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
69;Test Productie NV - Recruitment Manager (Venlo);Kruidvat;Recruitment Manager;Koen;van der Horst;warts+test69@recruitin.nl;612345069;HR Director;61.724;Renswoude;Limburg;5900AA;https://testproductie.nl/jobs/recruitment-manager;2025-11-21;
70;ASML - Senior Software Engineer (Veldhoven);Etos;Senior Software Engineer;Fien;van Wijk;warts+test70@recruitin.nl;612345070;Technical Recruiter;54.315;Amsterdam;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
71;Philips - Operations Manager (Eindhoven);Blokker;Operations Manager;Joep;Scholten;warts+test71@recruitin.nl;612345071;HR Business Partner;54.697;Amsterdam;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
72;Random IT BV - DevOps Engineer (Utrecht);MediaMarkt;DevOps Engineer;Lara;van Leeuwen;warts+test72@recruitin.nl;612345072;Technical Lead;51.214;Amsterdam;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
73;Random IT BV - DevOps Engineer (Utrecht);Decathlon;DevOps Engineer;Jens;de Lange;warts+test73@recruitin.nl;612345073;Technical Lead;51.214;Tilburg;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
74;ASML - Senior Software Engineer (Veldhoven);IKEA;Senior Software Engineer;Fay;de Vos;warts+test74@recruitin.nl;612345074;Technical Recruiter;54.315;Delft;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
75;Philips - Operations Manager (Eindhoven);Zara;Operations Manager;Bas;Boer;warts+test75@recruitin.nl;612345075;HR Business Partner;54.697;Amsterdam;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
76;Philips - Operations Manager (Eindhoven);Unilever;Operations Manager;Anouk;van Dijk;warts+test76@recruitin.nl;612345076;HR Business Partner;54.697;Rotterdam;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
77;Test Productie NV - Recruitment Manager tester (Venlo);Heineken;Recruitment Manager tester;Owen;Hoogendoorn;warts+test77@recruitin.nl;612345077;HR Director;61.724;Amsterdam;Limburg;5900AA;https://testproductie.nl/jobs/recruitment-manager;2025-11-21;
78;ASML - Senior Software Engineer 123 (Veldhoven);FrieslandCampina;Senior Software Engineer 123;Ties;Martens;warts+test78@recruitin.nl;612345078;Technical Recruiter;54.315;Amersfoort;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
79;Philips - Operations Manager specs (Eindhoven);Ahold Delhaize;Operations Manager specs;Boaz;Kool;warts+test79@recruitin.nl;612345079;HR Business Partner;54.697;Zaandam;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
80;Random IT BV - DevOps Engineer (Utrecht);Heinz;DevOps Engineer;Vince;Zwart;warts+test80@recruitin.nl;612345080;Technical Lead;51.214;Nijmegen;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
81;Random IT BV - DevOps Engineer (Utrecht);Mars Nederland;DevOps Engineer;Mick;van Rijn;warts+test81@recruitin.nl;612345081;Technical Lead;51.214;Veghel;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
82;ASML - Senior Software Engineer (Veldhoven);Coca-Cola Nederland;Senior Software Engineer;Rick;Klaassen;warts+test82@recruitin.nl;612345082;Technical Recruiter;54.315;Dongen;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
83;Random IT BV - DevOps Engineer (Utrecht);Pepsico;DevOps Engineer;Lars;Molenaar;warts+test83@recruitin.nl;612345083;Technical Lead;51.214;Utrecht;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
84;ASML - Senior Software Engineer (Veldhoven);Douwe Egberts;Senior Software Engineer;Abel;Koning;warts+test84@recruitin.nl;612345084;Technical Recruiter;54.315;Utrecht;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
85;Philips - Operations Manager (Eindhoven);Red Bull Nederland;Operations Manager;Tygo;van den Berg;warts+test85@recruitin.nl;612345085;HR Business Partner;54.697;Amsterdam;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
86;Random IT BV - DevOps Engineer (Utrecht);KLM;DevOps Engineer;Oliver;Sanders;warts+test86@recruitin.nl;612345086;Technical Lead;51.214;Amstelveen;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
87;Test Productie NV - Recruitment Manager tester (Venlo);NS;Recruitment Manager tester;Benjamin;van Dam;warts+test87@recruitin.nl;612345087;HR Director;61.724;Utrecht;Limburg;5900AA;https://testproductie.nl/jobs/recruitment-manager;2025-11-21;
88;ASML - Senior Software Engineer 123 (Veldhoven);ProRail;Senior Software Engineer 123;Jack;van der Velden;warts+test88@recruitin.nl;612345088;Technical Recruiter;54.315;Utrecht;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
89;Philips - Operations Manager specs (Eindhoven);PostNL;Operations Manager specs;Quinn;Brinkman;warts+test89@recruitin.nl;612345089;HR Business Partner;54.697;Den Haag;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
90;Random IT BV - DevOps Engineer (Utrecht);DHL Nederland;DevOps Engineer;Suus;van Es;warts+test90@recruitin.nl;612345090;Technical Lead;51.214;Utrecht;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
91;Random IT BV - DevOps Engineer (Utrecht);Maersk;DevOps Engineer;Jasmijn;de Wild;warts+test91@recruitin.nl;612345091;Technical Lead;51.214;Rotterdam;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
92;ASML - Senior Software Engineer (Veldhoven);Vopak;Senior Software Engineer;Elise;Elias;warts+test92@recruitin.nl;612345092;Technical Recruiter;54.315;Rotterdam;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
93;Random IT BV - DevOps Engineer (Utrecht);Schiphol Group;DevOps Engineer;Rosa;Rijnders;warts+test93@recruitin.nl;612345093;Technical Lead;51.214;Schiphol;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
94;ASML - Senior Software Engineer (Veldhoven);Rotterdam Port Authority;Senior Software Engineer;Liv;Stoop;warts+test94@recruitin.nl;612345094;Technical Recruiter;54.315;Rotterdam;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
95;Philips - Operations Manager (Eindhoven);Connexxion;Operations Manager;Ivy;Timmer;warts+test95@recruitin.nl;612345095;HR Business Partner;54.697;Hilversum;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
96;Random IT BV - DevOps Engineer (Utrecht);Pfizer Nederland;DevOps Engineer;Fem;Wolters;warts+test96@recruitin.nl;612345096;Technical Lead;51.214;Capelle aan den IJssel;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
97;Test Productie NV - Recruitment Manager tester (Venlo);Johnson & Johnson;Recruitment Manager tester;Fay;Beek;warts+test97@recruitin.nl;612345097;HR Director;61.724;Breda;Limburg;5900AA;https://testproductie.nl/jobs/recruitment-manager;2025-11-21;
98;ASML - Senior Software Engineer 123 (Veldhoven);Merck Sharp & Dohme;Senior Software Engineer 123;Jill;Veldman;warts+test98@recruitin.nl;612345098;Technical Recruiter;54.315;Haarlem;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
99;Philips - Operations Manager specs (Eindhoven);Roche Nederland;Operations Manager specs;Lauren;Mol;warts+test99@recruitin.nl;612345099;HR Business Partner;54.697;Woerden;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
100;Random IT BV - DevOps Engineer (Utrecht);Novartis;DevOps Engineer;Quinn;Schipper;warts+test100@recruitin.nl;612345100;Technical Lead;51.214;Amsterdam;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
101;Random IT BV - DevOps Engineer (Utrecht);Random IT BV;DevOps Engineer;Peter;Jansen;warts+test9@recruitin.nl;645678901;Technical Lead;51.214;Utrecht;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-16;
102;ASML - Senior Software Engineer (Veldhoven);ASML;Senior Software Engineer;Lisa;van Dijk;warts+test9@recruitin.nl;640123456;Technical Recruiter;54.315;Veldhoven;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-18;
103;Random IT BV - DevOps Engineer (Utrecht);Random IT BV;DevOps Engineer;Peter;Jansen;warts+test9@recruitin.nl;645678901;Technical Lead;51.214;Utrecht;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-16;
104;ASML - Senior Software Engineer (Veldhoven);ASML;Senior Software Engineer;Lisa;van Dijk;warts+test9@recruitin.nl;640123456;Technical Recruiter;54.315;Veldhoven;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-18;
105;Philips - Operations Manager (Eindhoven);Philips;Operations Manager;Mark;de Vries;warts+test9@recruitin.nl;631234567;HR Business Partner;54.697;Eindhoven;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-17;
106;Random IT BV - DevOps Engineer (Utrecht);Random IT BV;DevOps Engineer;Peter;Jansen;warts+test9@recruitin.nl;645678901;Technical Lead;51.214;Utrecht;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-16;
